,Hour,Hour_count
54648,19,4783
54649,22,8256
54650,19,4783
54651,21,9135
54652,22,8256
54653,14,956
54654,20,6859
54655,22,8256
54656,21,9135
54657,1,2339
54658,6,952
54659,20,6859
54660,1,2339
54661,18,3123
54662,21,9135
54663,16,1208
54664,19,4783
54665,19,4783
54666,23,5744
54667,20,6859
54668,1,2339
54669,22,8256
54670,5,1272
54671,22,8256
54672,19,4783
54673,6,952
54674,22,8256
54675,5,1272
54676,19,4783
54677,22,8256
54678,23,5744
54679,22,8256
54680,2,1649
54681,3,1447
54682,23,5744
54683,21,9135
54684,20,6859
54685,21,9135
54686,5,1272
54687,0,2941
54688,0,2941
54689,21,9135
54690,0,2941
54691,22,8256
54692,22,8256
54693,5,1272
54694,19,4783
54695,23,5744
54696,0,2941
54697,1,2339
54698,21,9135
54699,1,2339
54700,19,4783
54701,23,5744
54702,22,8256
54703,21,9135
54704,22,8256
54705,4,1114
54706,21,9135
54707,1,2339
54708,20,6859
54709,13,962
54710,0,2941
54711,21,9135
54712,21,9135
54713,14,956
54714,20,6859
54715,6,952
54716,16,1208
54717,5,1272
54718,0,2941
54719,9,766
54720,7,690
54721,4,1114
54722,17,1988
54723,23,5744
54724,22,8256
54725,19,4783
54726,9,766
54727,22,8256
54728,5,1272
54729,20,6859
54730,18,3123
54731,3,1447
54732,8,617
54733,17,1988
54734,0,2941
54735,22,8256
54736,22,8256
54737,19,4783
54738,17,1988
54739,17,1988
54740,17,1988
54741,20,6859
54742,20,6859
54743,2,1649
54744,23,5744
54745,0,2941
54746,11,850
54747,17,1988
54748,1,2339
54749,23,5744
54750,22,8256
54751,18,3123
54752,22,8256
54753,19,4783
54754,18,3123
54755,6,952
54756,23,5744
54757,16,1208
54758,19,4783
54759,23,5744
54760,22,8256
54761,15,1063
54762,4,1114
54763,21,9135
54764,21,9135
54765,21,9135
54766,20,6859
54767,0,2941
54768,20,6859
54769,20,6859
54770,21,9135
54771,22,8256
54772,18,3123
54773,20,6859
54774,1,2339
54775,18,3123
54776,15,1063
54777,20,6859
54778,15,1063
