,Hour,Hour_count
53283,22,8256
53284,0,2941
53285,20,6859
53286,4,1114
53287,0,2941
53288,21,9135
53289,18,3123
53290,15,1063
53291,2,1649
53292,2,1649
53293,23,5744
53294,21,9135
53295,20,6859
53296,16,1208
53297,5,1272
53298,5,1272
53299,20,6859
53300,19,4783
53301,21,9135
53302,0,2941
53303,23,5744
53304,21,9135
53305,21,9135
53306,19,4783
53307,4,1114
53308,22,8256
53309,14,956
53310,23,5744
53311,22,8256
53312,3,1447
53313,23,5744
53314,15,1063
53315,21,9135
53316,12,1016
53317,0,2941
53318,1,2339
53319,22,8256
53320,19,4783
53321,22,8256
53322,19,4783
53323,7,690
53324,21,9135
53325,11,850
53326,23,5744
53327,23,5744
53328,0,2941
53329,23,5744
53330,20,6859
53331,19,4783
53332,22,8256
53333,22,8256
53334,22,8256
53335,21,9135
53336,8,617
53337,0,2941
53338,15,1063
53339,23,5744
53340,21,9135
53341,3,1447
53342,20,6859
53343,0,2941
53344,21,9135
53345,3,1447
53346,22,8256
53347,19,4783
53348,1,2339
53349,20,6859
53350,12,1016
53351,19,4783
53352,19,4783
53353,21,9135
53354,8,617
53355,22,8256
53356,20,6859
53357,21,9135
53358,18,3123
53359,18,3123
53360,23,5744
53361,21,9135
53362,18,3123
53363,21,9135
53364,0,2941
53365,23,5744
53366,5,1272
53367,22,8256
53368,21,9135
53369,19,4783
53370,18,3123
53371,18,3123
53372,15,1063
53373,21,9135
53374,21,9135
53375,21,9135
53376,16,1208
53377,20,6859
53378,22,8256
53379,23,5744
53380,20,6859
53381,21,9135
53382,9,766
53383,19,4783
53384,21,9135
53385,12,1016
53386,16,1208
53387,16,1208
53388,21,9135
53389,13,962
53390,2,1649
53391,0,2941
53392,23,5744
53393,22,8256
53394,22,8256
53395,22,8256
53396,22,8256
53397,5,1272
53398,23,5744
53399,17,1988
53400,10,902
53401,12,1016
53402,21,9135
53403,22,8256
53404,2,1649
53405,23,5744
53406,23,5744
53407,21,9135
53408,22,8256
53409,18,3123
53410,22,8256
53411,3,1447
53412,21,9135
53413,21,9135
53414,22,8256
53415,7,690
53416,22,8256
53417,21,9135
53418,21,9135
53419,2,1649
53420,22,8256
53421,19,4783
53422,20,6859
53423,23,5744
53424,23,5744
53425,22,8256
53426,14,956
53427,1,2339
53428,17,1988
53429,5,1272
53430,22,8256
53431,17,1988
53432,23,5744
53433,22,8256
53434,23,5744
53435,11,850
53436,4,1114
53437,14,956
53438,13,962
53439,22,8256
53440,0,2941
53441,22,8256
53442,21,9135
53443,22,8256
53444,21,9135
53445,5,1272
53446,3,1447
53447,19,4783
53448,21,9135
53449,23,5744
53450,20,6859
53451,23,5744
53452,23,5744
53453,20,6859
53454,20,6859
53455,22,8256
53456,19,4783
53457,7,690
53458,2,1649
53459,13,962
53460,22,8256
53461,20,6859
53462,20,6859
53463,21,9135
53464,21,9135
53465,0,2941
53466,4,1114
53467,10,902
53468,21,9135
53469,15,1063
53470,15,1063
53471,19,4783
53472,19,4783
53473,3,1447
53474,7,690
53475,12,1016
53476,16,1208
53477,21,9135
53478,18,3123
53479,21,9135
53480,19,4783
53481,23,5744
53482,10,902
53483,22,8256
53484,20,6859
53485,0,2941
53486,18,3123
53487,5,1272
53488,19,4783
53489,10,902
53490,21,9135
53491,19,4783
53492,22,8256
53493,21,9135
53494,22,8256
53495,10,902
53496,20,6859
53497,23,5744
53498,9,766
53499,22,8256
53500,20,6859
53501,21,9135
53502,9,766
53503,0,2941
53504,22,8256
53505,23,5744
53506,2,1649
53507,20,6859
53508,22,8256
53509,22,8256
53510,22,8256
53511,5,1272
53512,23,5744
53513,11,850
53514,6,952
53515,1,2339
53516,2,1649
53517,4,1114
53518,1,2339
53519,7,690
53520,1,2339
53521,20,6859
53522,22,8256
53523,20,6859
53524,22,8256
53525,10,902
53526,3,1447
53527,12,1016
53528,20,6859
53529,22,8256
53530,0,2941
53531,4,1114
53532,2,1649
53533,21,9135
53534,18,3123
53535,11,850
53536,3,1447
53537,20,6859
53538,1,2339
53539,1,2339
53540,7,690
53541,2,1649
53542,2,1649
53543,22,8256
53544,22,8256
53545,18,3123
53546,3,1447
53547,1,2339
53548,7,690
53549,22,8256
53550,22,8256
53551,22,8256
53552,21,9135
53553,13,962
53554,21,9135
53555,20,6859
53556,21,9135
53557,15,1063
53558,21,9135
53559,4,1114
53560,13,962
53561,11,850
53562,19,4783
53563,23,5744
53564,22,8256
53565,23,5744
53566,19,4783
53567,19,4783
53568,19,4783
53569,22,8256
53570,21,9135
53571,22,8256
53572,19,4783
53573,21,9135
53574,22,8256
53575,5,1272
53576,19,4783
53577,22,8256
53578,3,1447
53579,2,1649
53580,16,1208
53581,9,766
53582,17,1988
53583,21,9135
53584,23,5744
53585,22,8256
53586,0,2941
53587,23,5744
53588,9,766
53589,22,8256
53590,22,8256
53591,21,9135
53592,23,5744
53593,22,8256
53594,21,9135
53595,22,8256
53596,18,3123
53597,21,9135
53598,21,9135
53599,20,6859
53600,21,9135
53601,1,2339
53602,0,2941
53603,22,8256
53604,22,8256
53605,21,9135
53606,22,8256
53607,21,9135
53608,22,8256
53609,7,690
53610,21,9135
53611,21,9135
53612,21,9135
53613,23,5744
53614,1,2339
53615,20,6859
53616,17,1988
53617,21,9135
53618,22,8256
53619,8,617
53620,21,9135
53621,19,4783
53622,22,8256
53623,15,1063
53624,18,3123
53625,22,8256
53626,16,1208
53627,21,9135
53628,2,1649
53629,2,1649
53630,18,3123
53631,18,3123
53632,1,2339
53633,20,6859
53634,0,2941
53635,21,9135
53636,23,5744
53637,17,1988
53638,13,962
53639,10,902
53640,23,5744
53641,18,3123
53642,22,8256
53643,21,9135
53644,22,8256
53645,19,4783
53646,22,8256
53647,19,4783
53648,23,5744
53649,21,9135
53650,3,1447
53651,21,9135
53652,21,9135
53653,1,2339
53654,21,9135
53655,19,4783
53656,5,1272
53657,17,1988
53658,20,6859
53659,23,5744
53660,10,902
53661,3,1447
53662,10,902
53663,19,4783
53664,19,4783
53665,20,6859
53666,22,8256
53667,0,2941
53668,21,9135
53669,23,5744
53670,21,9135
53671,23,5744
53672,23,5744
53673,22,8256
53674,23,5744
53675,17,1988
53676,22,8256
53677,23,5744
53678,10,902
53679,17,1988
53680,23,5744
53681,1,2339
53682,21,9135
53683,22,8256
53684,17,1988
53685,21,9135
53686,23,5744
53687,22,8256
53688,22,8256
53689,19,4783
53690,0,2941
53691,21,9135
53692,2,1649
53693,22,8256
53694,22,8256
53695,5,1272
53696,0,2941
53697,12,1016
53698,21,9135
53699,12,1016
53700,20,6859
53701,8,617
53702,0,2941
53703,21,9135
53704,23,5744
53705,20,6859
53706,10,902
53707,12,1016
53708,7,690
53709,17,1988
53710,22,8256
53711,4,1114
53712,16,1208
53713,4,1114
53714,4,1114
53715,23,5744
53716,13,962
53717,22,8256
53718,20,6859
53719,13,962
53720,23,5744
53721,22,8256
53722,1,2339
53723,4,1114
53724,22,8256
