,Shape,Shape_count
13212,cylinder,977
13213,disk,3853
13214,fireball,4939
13215,light,12895
13216,light,12895
13217,light,12895
13218,light,12895
13219,light,12895
13220,teardrop,560
13221,teardrop,560
13222,triangle,6268
13223,triangle,6268
13224,triangle,6268
13225,unknown,4359
13226,circle,5890
13227,disk,3853
13228,fireball,4939
13229,light,12895
13230,sphere,4134
13231,unknown,4359
13232,disk,3853
13233,flash,1025
13234,light,12895
13235,oval,2881
13236,sphere,4134
13237,sphere,4134
13238,unknown,4359
13239,cylinder,977
13240,unknown,4359
13241,oval,2881
13242,cylinder,977
13243,changing,1517
13244,oval,2881
13245,unknown,4359
13246,triangle,6268
13247,chevron,774
13248,cigar,1569
13249,circle,5890
13250,circle,5890
13251,circle,5890
13252,circle,5890
13253,cylinder,977
13254,disk,3853
13255,fireball,4939
13256,fireball,4939
13257,fireball,4939
13258,flash,1025
13259,light,12895
13260,light,12895
13261,light,12895
13262,light,12895
13263,other,4209
13264,other,4209
13265,oval,2881
13266,sphere,4134
13267,triangle,6268
13268,triangle,6268
13269,triangle,6268
13270,triangle,6268
13271,unknown,4359
13272,unknown,4359
13273,light,12895
13274,chevron,774
13275,circle,5890
13276,cylinder,977
13277,diamond,884
13278,other,4209
13279,triangle,6268
13280,fireball,4939
13281,light,12895
13282,changing,1517
13283,cigar,1569
13284,other,4209
13285,triangle,6268
13286,triangle,6268
13287,triangle,6268
13288,unknown,4359
13289,other,4209
13290,flash,1025
13291,oval,2881
13292,rectangle,1010
13293,circle,5890
13294,light,12895
13295,other,4209
13296,circle,5890
13297,circle,5890
13298,oval,2881
13299,triangle,6268
13300,triangle,6268
13301,fireball,4939
13302,chevron,774
13303,disk,3853
13304,disk,3853
13305,rectangle,1010
