,Shape,Shape_count
14496,triangle,6268
14497,unknown,4359
14498,other,4209
14499,circle,5890
14500,diamond,884
14501,disk,3853
14502,fireball,4939
14503,fireball,4939
14504,fireball,4939
14505,fireball,4939
14506,formation,1908
14507,light,12895
14508,light,12895
14509,light,12895
14510,light,12895
14511,other,4209
14512,rectangle,1010
14513,rectangle,1010
14514,triangle,6268
14515,changing,1517
14516,cigar,1569
14517,disk,3853
14518,disk,3853
14519,fireball,4939
14520,fireball,4939
14521,fireball,4939
14522,formation,1908
14523,light,12895
14524,light,12895
14525,disk,3853
14526,other,4209
14527,disk,3853
14528,light,12895
14529,changing,1517
14530,other,4209
14531,triangle,6268
14532,light,12895
14533,sphere,4134
14534,triangle,6268
14535,cigar,1569
14536,formation,1908
14537,light,12895
14538,rectangle,1010
14539,circle,5890
14540,cylinder,977
14541,fireball,4939
14542,fireball,4939
14543,light,12895
14544,light,12895
14545,light,12895
14546,other,4209
14547,rectangle,1010
14548,sphere,4134
14549,sphere,4134
14550,triangle,6268
14551,unknown,4359
14552,changing,1517
14553,circle,5890
14554,circle,5890
14555,circle,5890
14556,circle,5890
14557,circle,5890
14558,circle,5890
14559,circle,5890
14560,cone,235
14561,cylinder,977
14562,diamond,884
14563,disk,3853
14564,disk,3853
14565,fireball,4939
14566,fireball,4939
14567,fireball,4939
14568,fireball,4939
14569,fireball,4939
14570,fireball,4939
14571,formation,1908
14572,light,12895
14573,light,12895
14574,light,12895
14575,light,12895
14576,light,12895
14577,light,12895
14578,light,12895
14579,light,12895
14580,light,12895
14581,light,12895
14582,other,4209
14583,oval,2881
14584,oval,2881
14585,sphere,4134
14586,sphere,4134
14587,sphere,4134
14588,sphere,4134
14589,sphere,4134
14590,sphere,4134
14591,triangle,6268
14592,triangle,6268
14593,triangle,6268
14594,unknown,4359
14595,cylinder,977
14596,disk,3853
14597,fireball,4939
14598,fireball,4939
14599,fireball,4939
14600,fireball,4939
14601,fireball,4939
14602,fireball,4939
14603,fireball,4939
14604,flash,1025
14605,flash,1025
14606,light,12895
14607,light,12895
14608,light,12895
14609,light,12895
14610,light,12895
14611,light,12895
14612,light,12895
14613,oval,2881
14614,oval,2881
14615,oval,2881
14616,oval,2881
14617,other,4209
14618,other,4209
14619,disk,3853
14620,fireball,4939
14621,light,12895
14622,light,12895
14623,other,4209
14624,other,4209
14625,other,4209
14626,chevron,774
14627,light,12895
14628,triangle,6268
14629,triangle,6268
14630,unknown,4359
14631,light,12895
14632,cigar,1569
14633,disk,3853
14634,fireball,4939
14635,fireball,4939
14636,triangle,6268
14637,sphere,4134
14638,light,12895
14639,chevron,774
14640,cigar,1569
14641,circle,5890
14642,circle,5890
14643,disk,3853
14644,disk,3853
14645,disk,3853
14646,egg,555
14647,fireball,4939
14648,fireball,4939
14649,light,12895
14650,light,12895
14651,light,12895
14652,light,12895
14653,light,12895
14654,light,12895
14655,light,12895
14656,other,4209
14657,other,4209
14658,other,4209
14659,other,4209
14660,rectangle,1010
14661,sphere,4134
14662,sphere,4134
14663,sphere,4134
14664,triangle,6268
14665,triangle,6268
14666,triangle,6268
14667,triangle,6268
14668,unknown,4359
14669,unknown,4359
14670,unknown,4359
14671,unknown,4359
14672,unknown,4359
14673,other,4209
14674,oval,2881
14675,oval,2881
14676,sphere,4134
14677,unknown,4359
14678,changing,1517
14679,changing,1517
14680,cigar,1569
14681,circle,5890
14682,circle,5890
14683,circle,5890
14684,fireball,4939
14685,fireball,4939
14686,flash,1025
14687,light,12895
14688,light,12895
14689,light,12895
14690,light,12895
14691,light,12895
14692,light,12895
14693,light,12895
14694,sphere,4134
14695,triangle,6268
14696,triangle,6268
14697,unknown,4359
14698,unknown,4359
14699,changing,1517
14700,circle,5890
14701,fireball,4939
14702,fireball,4939
14703,fireball,4939
14704,light,12895
14705,light,12895
14706,light,12895
14707,other,4209
14708,oval,2881
14709,oval,2881
14710,oval,2881
14711,sphere,4134
14712,sphere,4134
14713,unknown,4359
14714,unknown,4359
14715,unknown,4359
14716,cross,177
14717,fireball,4939
14718,light,12895
14719,light,12895
14720,other,4209
14721,oval,2881
14722,sphere,4134
14723,triangle,6268
14724,triangle,6268
14725,triangle,6268
14726,circle,5890
14727,diamond,884
14728,disk,3853
14729,light,12895
14730,triangle,6268
14731,changing,1517
14732,other,4209
14733,triangle,6268
14734,circle,5890
14735,diamond,884
14736,disk,3853
14737,other,4209
14738,unknown,4359
14739,chevron,774
14740,circle,5890
14741,circle,5890
14742,circle,5890
14743,circle,5890
14744,circle,5890
14745,circle,5890
14746,cone,235
14747,diamond,884
14748,disk,3853
14749,fireball,4939
14750,light,12895
14751,light,12895
14752,light,12895
14753,light,12895
14754,light,12895
14755,light,12895
14756,light,12895
14757,light,12895
14758,other,4209
14759,other,4209
14760,other,4209
14761,other,4209
14762,oval,2881
14763,oval,2881
14764,oval,2881
14765,oval,2881
14766,sphere,4134
14767,triangle,6268
14768,triangle,6268
14769,triangle,6268
14770,triangle,6268
14771,unknown,4359
14772,unknown,4359
14773,unknown,4359
14774,triangle,6268
14775,changing,1517
14776,cigar,1569
14777,light,12895
14778,other,4209
14779,changing,1517
14780,circle,5890
14781,circle,5890
14782,cylinder,977
14783,fireball,4939
14784,sphere,4134
14785,sphere,4134
14786,triangle,6268
14787,triangle,6268
14788,unknown,4359
14789,triangle,6268
14790,disk,3853
14791,light,12895
14792,changing,1517
14793,flash,1025
14794,light,12895
14795,sphere,4134
14796,triangle,6268
14797,light,12895
14798,circle,5890
14799,disk,3853
14800,fireball,4939
14801,light,12895
14802,sphere,4134
14803,sphere,4134
14804,sphere,4134
14805,teardrop,560
14806,unknown,4359
14807,formation,1908
14808,oval,2881
14809,rectangle,1010
14810,rectangle,1010
14811,disk,3853
14812,disk,3853
14813,fireball,4939
14814,fireball,4939
14815,light,12895
14816,light,12895
14817,unknown,4359
14818,changing,1517
14819,changing,1517
14820,changing,1517
14821,cigar,1569
14822,circle,5890
14823,circle,5890
14824,circle,5890
