,Month,Month_count
368,9,5791
369,11,5265
370,3,4121
371,11,5265
372,1,4272
373,11,5265
374,10,5841
375,4,4107
376,5,3925
377,9,5791
378,10,5841
379,7,7189
380,10,5841
381,7,7189
382,12,4326
383,11,5265
384,12,4326
385,10,5841
386,7,7189
387,11,5265
388,10,5841
389,6,5925
390,1,4272
391,11,5265
392,3,4121
393,7,7189
394,6,5925
395,11,5265
396,6,5925
397,7,7189
398,1,4272
399,5,3925
400,8,6341
401,3,4121
402,8,6341
403,7,7189
404,11,5265
405,3,4121
406,1,4272
407,6,5925
408,3,4121
409,5,3925
410,8,6341
411,10,5841
412,5,3925
413,11,5265
414,9,5791
415,9,5791
416,7,7189
417,5,3925
418,1,4272
419,12,4326
420,4,4107
421,7,7189
422,11,5265
423,11,5265
424,8,6341
425,10,5841
426,7,7189
427,8,6341
428,3,4121
429,6,5925
430,11,5265
431,7,7189
432,3,4121
433,1,4272
434,2,3529
435,9,5791
436,6,5925
437,6,5925
438,6,5925
439,10,5841
440,1,4272
441,2,3529
442,5,3925
443,10,5841
444,10,5841
445,10,5841
446,11,5265
447,11,5265
448,12,4326
449,4,4107
450,4,4107
451,6,5925
452,11,5265
453,12,4326
454,6,5925
455,2,3529
456,6,5925
457,7,7189
458,11,5265
459,4,4107
460,9,5791
461,2,3529
462,10,5841
463,12,4326
464,11,5265
465,9,5791
466,11,5265
467,6,5925
468,2,3529
469,5,3925
470,9,5791
471,2,3529
472,2,3529
473,9,5791
474,6,5925
475,9,5791
476,7,7189
477,4,4107
478,11,5265
479,11,5265
480,11,5265
481,10,5841
482,10,5841
483,1,4272
484,10,5841
485,12,4326
486,4,4107
487,2,3529
488,8,6341
489,4,4107
490,11,5265
491,1,4272
492,8,6341
493,5,3925
494,7,7189
495,7,7189
496,9,5791
497,1,4272
498,11,5265
499,10,5841
500,12,4326
501,12,4326
502,5,3925
503,11,5265
504,3,4121
505,8,6341
506,7,7189
507,6,5925
508,7,7189
509,5,3925
510,4,4107
511,8,6341
512,3,4121
513,7,7189
514,9,5791
515,8,6341
516,5,3925
517,4,4107
518,5,3925
519,4,4107
520,5,3925
521,7,7189
522,7,7189
523,6,5925
524,11,5265
525,5,3925
526,8,6341
527,6,5925
528,6,5925
529,12,4326
530,12,4326
531,9,5791
532,10,5841
533,9,5791
534,12,4326
535,8,6341
536,12,4326
537,6,5925
538,4,4107
539,5,3925
540,6,5925
541,7,7189
542,5,3925
543,12,4326
544,11,5265
545,5,3925
546,6,5925
547,7,7189
548,4,4107
549,7,7189
550,10,5841
551,11,5265
552,8,6341
553,6,5925
554,6,5925
555,3,4121
556,3,4121
557,8,6341
558,11,5265
559,9,5791
560,9,5791
561,4,4107
562,10,5841
563,8,6341
564,11,5265
565,10,5841
566,1,4272
567,10,5841
568,9,5791
569,10,5841
570,5,3925
571,3,4121
572,2,3529
573,7,7189
574,8,6341
575,1,4272
576,9,5791
577,12,4326
578,4,4107
579,8,6341
580,8,6341
581,4,4107
582,3,4121
583,12,4326
584,10,5841
585,10,5841
586,1,4272
587,5,3925
588,6,5925
589,6,5925
590,1,4272
591,2,3529
592,1,4272
593,11,5265
594,9,5791
595,12,4326
596,7,7189
597,9,5791
598,9,5791
599,8,6341
600,7,7189
601,4,4107
602,7,7189
603,12,4326
604,5,3925
605,1,4272
606,4,4107
607,11,5265
608,6,5925
609,8,6341
610,12,4326
611,4,4107
612,10,5841
613,7,7189
614,7,7189
615,6,5925
616,4,4107
617,2,3529
618,1,4272
619,6,5925
620,7,7189
621,11,5265
622,6,5925
623,2,3529
624,7,7189
625,1,4272
626,11,5265
627,4,4107
628,5,3925
629,11,5265
630,11,5265
631,8,6341
632,7,7189
633,9,5791
634,6,5925
635,2,3529
636,1,4272
637,7,7189
638,12,4326
639,5,3925
640,6,5925
641,7,7189
642,8,6341
643,3,4121
644,6,5925
645,6,5925
646,7,7189
647,6,5925
648,4,4107
649,5,3925
650,1,4272
651,6,5925
652,10,5841
653,11,5265
654,1,4272
655,2,3529
656,11,5265
657,11,5265
658,2,3529
659,12,4326
660,9,5791
661,7,7189
662,7,7189
663,4,4107
664,9,5791
665,5,3925
666,7,7189
667,11,5265
668,6,5925
669,3,4121
670,10,5841
671,3,4121
672,5,3925
673,3,4121
674,4,4107
675,6,5925
676,8,6341
677,5,3925
678,1,4272
679,11,5265
680,2,3529
681,12,4326
682,10,5841
683,3,4121
684,10,5841
685,12,4326
686,5,3925
687,7,7189
688,7,7189
689,4,4107
690,8,6341
691,11,5265
692,2,3529
693,4,4107
694,8,6341
695,4,4107
696,7,7189
697,2,3529
698,1,4272
699,2,3529
700,1,4272
701,11,5265
702,7,7189
703,2,3529
704,7,7189
705,12,4326
706,8,6341
707,8,6341
708,3,4121
709,5,3925
710,10,5841
711,11,5265
712,7,7189
713,11,5265
714,10,5841
715,11,5265
716,6,5925
717,8,6341
718,1,4272
719,8,6341
720,10,5841
721,1,4272
722,11,5265
723,12,4326
724,4,4107
725,10,5841
726,2,3529
727,9,5791
728,6,5925
729,11,5265
730,5,3925
731,2,3529
732,10,5841
733,3,4121
734,10,5841
735,6,5925
736,3,4121
737,3,4121
738,4,4107
739,11,5265
740,6,5925
741,7,7189
742,12,4326
743,5,3925
744,10,5841
745,10,5841
746,10,5841
747,6,5925
748,12,4326
749,1,4272
750,1,4272
751,5,3925
752,6,5925
753,6,5925
754,6,5925
755,8,6341
756,10,5841
757,2,3529
758,11,5265
759,8,6341
760,5,3925
761,1,4272
762,10,5841
763,1,4272
764,12,4326
765,1,4272
766,8,6341
767,1,4272
768,3,4121
769,10,5841
770,4,4107
771,1,4272
772,1,4272
773,6,5925
774,1,4272
775,2,3529
776,7,7189
777,3,4121
778,10,5841
779,11,5265
780,10,5841
781,12,4326
782,8,6341
783,12,4326
784,10,5841
785,10,5841
786,8,6341
787,4,4107
788,6,5925
789,10,5841
790,5,3925
791,4,4107
792,11,5265
793,11,5265
794,5,3925
795,9,5791
796,10,5841
797,3,4121
798,11,5265
799,10,5841
800,10,5841
801,5,3925
802,5,3925
803,8,6341
804,8,6341
805,9,5791
806,7,7189
807,10,5841
808,11,5265
809,11,5265
810,4,4107
811,6,5925
812,4,4107
813,2,3529
814,7,7189
815,7,7189
816,1,4272
817,3,4121
818,6,5925
819,4,4107
820,6,5925
821,7,7189
822,12,4326
823,5,3925
824,7,7189
825,12,4326
826,1,4272
827,7,7189
828,12,4326
829,8,6341
830,10,5841
831,3,4121
832,12,4326
833,5,3925
834,7,7189
835,4,4107
836,4,4107
837,8,6341
838,2,3529
839,11,5265
840,4,4107
841,7,7189
842,2,3529
843,8,6341
844,4,4107
845,8,6341
846,5,3925
847,4,4107
848,5,3925
849,10,5841
850,2,3529
851,12,4326
852,2,3529
853,8,6341
854,7,7189
855,6,5925
856,1,4272
857,6,5925
858,11,5265
859,7,7189
860,10,5841
861,10,5841
862,11,5265
863,9,5791
864,3,4121
865,9,5791
866,3,4121
867,8,6341
868,4,4107
869,3,4121
870,4,4107
871,1,4272
872,2,3529
873,9,5791
874,5,3925
875,6,5925
876,1,4272
877,6,5925
878,11,5265
879,11,5265
880,8,6341
881,11,5265
882,9,5791
883,6,5925
884,5,3925
885,5,3925
886,7,7189
887,10,5841
888,12,4326
889,6,5925
890,8,6341
891,1,4272
892,9,5791
893,1,4272
894,9,5791
895,1,4272
896,8,6341
897,7,7189
898,3,4121
899,9,5791
900,2,3529
901,6,5925
902,11,5265
903,1,4272
904,12,4326
905,10,5841
906,4,4107
907,7,7189
908,1,4272
909,10,5841
910,1,4272
911,1,4272
912,10,5841
913,11,5265
914,5,3925
915,9,5791
916,11,5265
917,8,6341
918,5,3925
919,10,5841
920,2,3529
921,6,5925
922,1,4272
923,1,4272
924,6,5925
925,1,4272
926,9,5791
927,9,5791
928,10,5841
929,4,4107
930,6,5925
931,10,5841
932,4,4107
933,6,5925
934,7,7189
935,8,6341
936,4,4107
937,5,3925
938,9,5791
939,1,4272
940,7,7189
941,6,5925
942,4,4107
943,10,5841
944,7,7189
945,12,4326
946,4,4107
947,7,7189
948,6,5925
949,7,7189
950,7,7189
951,7,7189
952,9,5791
953,11,5265
954,8,6341
955,5,3925
956,3,4121
957,1,4272
958,9,5791
959,9,5791
960,6,5925
961,10,5841
962,7,7189
963,4,4107
964,10,5841
965,10,5841
966,7,7189
967,6,5925
968,10,5841
969,4,4107
970,10,5841
971,9,5791
972,10,5841
973,9,5791
974,6,5925
975,6,5925
976,6,5925
977,3,4121
978,2,3529
979,2,3529
980,2,3529
981,4,4107
982,9,5791
983,3,4121
984,11,5265
985,2,3529
986,4,4107
987,9,5791
988,9,5791
989,7,7189
990,1,4272
991,1,4272
992,4,4107
993,10,5841
994,2,3529
995,8,6341
996,8,6341
997,10,5841
998,10,5841
999,2,3529
1000,7,7189
1001,5,3925
1002,1,4272
1003,11,5265
1004,3,4121
1005,6,5925
1006,9,5791
1007,10,5841
1008,7,7189
1009,3,4121
1010,9,5791
1011,11,5265
1012,4,4107
1013,3,4121
1014,10,5841
1015,2,3529
1016,4,4107
1017,11,5265
1018,12,4326
1019,11,5265
1020,3,4121
1021,9,5791
1022,7,7189
1023,7,7189
1024,6,5925
1025,11,5265
1026,2,3529
1027,5,3925
1028,3,4121
1029,12,4326
1030,7,7189
1031,10,5841
1032,9,5791
1033,7,7189
1034,9,5791
1035,11,5265
1036,9,5791
1037,5,3925
1038,7,7189
1039,8,6341
1040,10,5841
1041,3,4121
1042,5,3925
1043,6,5925
1044,1,4272
1045,10,5841
1046,12,4326
1047,11,5265
1048,7,7189
1049,4,4107
1050,9,5791
1051,2,3529
1052,7,7189
1053,11,5265
1054,8,6341
1055,9,5791
1056,4,4107
1057,9,5791
1058,1,4272
1059,8,6341
1060,2,3529
1061,11,5265
1062,6,5925
1063,6,5925
1064,4,4107
1065,11,5265
1066,1,4272
1067,5,3925
1068,12,4326
1069,4,4107
1070,2,3529
1071,7,7189
1072,9,5791
1073,2,3529
1074,8,6341
1075,12,4326
1076,3,4121
1077,3,4121
1078,8,6341
1079,8,6341
1080,10,5841
1081,8,6341
1082,10,5841
1083,7,7189
1084,11,5265
1085,8,6341
1086,9,5791
1087,2,3529
1088,9,5791
1089,3,4121
1090,9,5791
1091,1,4272
1092,12,4326
1093,1,4272
1094,10,5841
1095,11,5265
1096,8,6341
1097,8,6341
1098,12,4326
1099,3,4121
1100,7,7189
1101,12,4326
1102,2,3529
1103,10,5841
1104,4,4107
1105,11,5265
1106,6,5925
1107,8,6341
1108,3,4121
1109,9,5791
1110,9,5791
1111,2,3529
1112,3,4121
1113,6,5925
1114,11,5265
1115,5,3925
1116,11,5265
1117,4,4107
1118,5,3925
1119,3,4121
1120,5,3925
1121,8,6341
1122,7,7189
1123,7,7189
1124,4,4107
1125,4,4107
1126,4,4107
1127,6,5925
1128,5,3925
1129,6,5925
1130,8,6341
1131,6,5925
1132,8,6341
1133,11,5265
1134,6,5925
1135,5,3925
1136,12,4326
1137,1,4272
1138,8,6341
1139,2,3529
1140,11,5265
1141,1,4272
1142,1,4272
1143,7,7189
1144,9,5791
1145,9,5791
1146,5,3925
1147,7,7189
1148,6,5925
1149,4,4107
1150,4,4107
1151,1,4272
1152,8,6341
1153,7,7189
1154,3,4121
1155,12,4326
1156,8,6341
1157,5,3925
1158,12,4326
1159,4,4107
1160,10,5841
1161,8,6341
1162,10,5841
1163,4,4107
1164,10,5841
1165,1,4272
1166,8,6341
1167,5,3925
1168,4,4107
1169,2,3529
1170,6,5925
1171,5,3925
1172,3,4121
1173,6,5925
1174,6,5925
1175,2,3529
1176,2,3529
1177,10,5841
1178,11,5265
1179,6,5925
1180,5,3925
1181,7,7189
1182,8,6341
1183,8,6341
1184,4,4107
1185,5,3925
1186,11,5265
1187,4,4107
1188,10,5841
1189,10,5841
1190,11,5265
1191,12,4326
1192,12,4326
1193,10,5841
1194,5,3925
1195,9,5791
1196,8,6341
1197,5,3925
1198,8,6341
1199,11,5265
1200,5,3925
1201,5,3925
1202,10,5841
1203,4,4107
1204,4,4107
1205,6,5925
1206,6,5925
1207,8,6341
1208,4,4107
1209,5,3925
1210,7,7189
1211,4,4107
1212,12,4326
1213,7,7189
1214,10,5841
1215,2,3529
1216,1,4272
1217,8,6341
1218,9,5791
1219,5,3925
1220,5,3925
1221,10,5841
1222,10,5841
1223,7,7189
1224,6,5925
1225,10,5841
1226,12,4326
1227,5,3925
1228,11,5265
1229,10,5841
1230,5,3925
1231,3,4121
1232,11,5265
1233,6,5925
1234,6,5925
1235,11,5265
1236,1,4272
1237,12,4326
1238,1,4272
1239,5,3925
1240,9,5791
1241,10,5841
1242,12,4326
1243,6,5925
1244,3,4121
1245,8,6341
1246,12,4326
1247,12,4326
1248,11,5265
1249,7,7189
1250,11,5265
1251,8,6341
1252,9,5791
1253,1,4272
1254,10,5841
1255,1,4272
1256,10,5841
1257,7,7189
1258,12,4326
1259,8,6341
1260,1,4272
1261,3,4121
1262,6,5925
1263,3,4121
1264,11,5265
1265,6,5925
1266,1,4272
1267,7,7189
1268,7,7189
1269,7,7189
1270,10,5841
1271,10,5841
1272,9,5791
1273,7,7189
1274,10,5841
1275,2,3529
1276,6,5925
1277,3,4121
1278,7,7189
1279,8,6341
1280,12,4326
1281,9,5791
1282,6,5925
1283,2,3529
1284,4,4107
1285,10,5841
1286,7,7189
1287,7,7189
1288,4,4107
1289,12,4326
1290,10,5841
1291,3,4121
1292,4,4107
1293,7,7189
1294,11,5265
1295,3,4121
1296,11,5265
1297,1,4272
1298,7,7189
1299,10,5841
1300,9,5791
1301,6,5925
1302,7,7189
1303,11,5265
1304,10,5841
1305,4,4107
1306,6,5925
1307,8,6341
1308,9,5791
1309,11,5265
1310,10,5841
1311,1,4272
1312,6,5925
1313,7,7189
1314,11,5265
1315,7,7189
1316,12,4326
1317,1,4272
1318,5,3925
1319,5,3925
1320,1,4272
1321,2,3529
1322,9,5791
1323,12,4326
1324,8,6341
1325,8,6341
1326,3,4121
1327,9,5791
1328,3,4121
1329,6,5925
1330,5,3925
1331,4,4107
1332,7,7189
1333,4,4107
1334,12,4326
1335,11,5265
1336,7,7189
1337,3,4121
1338,12,4326
1339,12,4326
1340,10,5841
1341,12,4326
1342,4,4107
1343,6,5925
1344,6,5925
1345,12,4326
1346,11,5265
1347,4,4107
1348,8,6341
1349,1,4272
1350,7,7189
1351,7,7189
1352,6,5925
1353,7,7189
1354,10,5841
1355,7,7189
1356,8,6341
1357,6,5925
1358,2,3529
1359,3,4121
1360,10,5841
1361,12,4326
1362,8,6341
1363,6,5925
1364,6,5925
1365,4,4107
1366,7,7189
1367,9,5791
1368,1,4272
1369,10,5841
1370,10,5841
1371,7,7189
1372,10,5841
1373,10,5841
1374,4,4107
1375,11,5265
1376,12,4326
1377,10,5841
1378,8,6341
1379,11,5265
1380,9,5791
1381,10,5841
1382,2,3529
1383,3,4121
1384,8,6341
1385,5,3925
1386,11,5265
1387,8,6341
1388,8,6341
1389,6,5925
1390,3,4121
1391,6,5925
1392,11,5265
1393,8,6341
1394,7,7189
1395,10,5841
1396,9,5791
1397,7,7189
1398,3,4121
1399,2,3529
1400,8,6341
1401,2,3529
1402,9,5791
1403,3,4121
1404,12,4326
1405,8,6341
1406,3,4121
1407,4,4107
1408,9,5791
1409,12,4326
1410,10,5841
1411,5,3925
1412,10,5841
1413,5,3925
1414,4,4107
1415,6,5925
1416,11,5265
1417,10,5841
1418,10,5841
1419,7,7189
1420,10,5841
1421,8,6341
1422,12,4326
1423,2,3529
1424,2,3529
1425,2,3529
1426,5,3925
1427,4,4107
1428,6,5925
1429,8,6341
1430,2,3529
1431,8,6341
1432,8,6341
1433,11,5265
1434,1,4272
1435,9,5791
1436,11,5265
1437,9,5791
1438,11,5265
1439,8,6341
1440,10,5841
1441,10,5841
1442,2,3529
1443,12,4326
1444,3,4121
1445,2,3529
1446,12,4326
1447,8,6341
1448,3,4121
1449,12,4326
1450,11,5265
1451,7,7189
1452,6,5925
1453,3,4121
1454,3,4121
1455,6,5925
1456,3,4121
1457,5,3925
1458,10,5841
1459,2,3529
1460,2,3529
1461,1,4272
1462,8,6341
1463,8,6341
1464,4,4107
1465,3,4121
1466,11,5265
1467,12,4326
1468,2,3529
1469,5,3925
1470,3,4121
1471,8,6341
1472,3,4121
1473,6,5925
1474,6,5925
1475,3,4121
1476,3,4121
1477,1,4272
1478,1,4272
1479,5,3925
1480,11,5265
1481,6,5925
1482,6,5925
1483,10,5841
1484,3,4121
1485,6,5925
1486,2,3529
1487,11,5265
1488,3,4121
1489,3,4121
1490,4,4107
1491,4,4107
1492,2,3529
1493,3,4121
1494,2,3529
1495,11,5265
1496,4,4107
1497,4,4107
1498,5,3925
1499,6,5925
1500,3,4121
1501,3,4121
1502,7,7189
1503,3,4121
1504,7,7189
1505,7,7189
1506,4,4107
1507,1,4272
1508,10,5841
1509,8,6341
1510,8,6341
1511,9,5791
1512,5,3925
1513,6,5925
1514,9,5791
1515,12,4326
1516,1,4272
1517,9,5791
1518,3,4121
1519,6,5925
1520,9,5791
1521,10,5841
1522,7,7189
1523,6,5925
1524,9,5791
1525,8,6341
1526,10,5841
1527,10,5841
1528,6,5925
1529,12,4326
1530,8,6341
1531,2,3529
1532,4,4107
1533,5,3925
1534,10,5841
1535,10,5841
1536,6,5925
1537,7,7189
1538,8,6341
1539,7,7189
1540,10,5841
1541,11,5265
1542,3,4121
1543,6,5925
1544,12,4326
1545,12,4326
1546,3,4121
1547,2,3529
1548,10,5841
1549,4,4107
1550,4,4107
1551,2,3529
1552,4,4107
1553,7,7189
1554,5,3925
1555,1,4272
1556,11,5265
1557,11,5265
1558,9,5791
1559,8,6341
1560,9,5791
1561,7,7189
1562,9,5791
1563,1,4272
1564,7,7189
1565,9,5791
1566,2,3529
1567,6,5925
1568,8,6341
1569,10,5841
1570,11,5265
1571,5,3925
1572,7,7189
1573,3,4121
1574,2,3529
1575,10,5841
1576,3,4121
1577,4,4107
1578,3,4121
1579,4,4107
1580,9,5791
1581,9,5791
1582,1,4272
1583,8,6341
1584,8,6341
1585,8,6341
1586,7,7189
1587,4,4107
1588,8,6341
1589,8,6341
1590,9,5791
1591,6,5925
1592,8,6341
1593,9,5791
1594,7,7189
1595,7,7189
1596,4,4107
1597,6,5925
1598,12,4326
1599,4,4107
1600,9,5791
1601,7,7189
1602,10,5841
1603,5,3925
1604,2,3529
1605,1,4272
1606,9,5791
1607,6,5925
1608,8,6341
1609,11,5265
1610,7,7189
1611,2,3529
1612,8,6341
1613,1,4272
1614,7,7189
1615,10,5841
1616,10,5841
1617,6,5925
1618,8,6341
1619,1,4272
1620,11,5265
1621,4,4107
1622,10,5841
1623,7,7189
1624,9,5791
1625,10,5841
1626,11,5265
1627,9,5791
1628,10,5841
1629,8,6341
1630,9,5791
1631,5,3925
1632,8,6341
1633,7,7189
1634,8,6341
1635,10,5841
1636,12,4326
1637,8,6341
1638,3,4121
1639,2,3529
1640,9,5791
1641,7,7189
1642,1,4272
1643,9,5791
1644,9,5791
1645,7,7189
1646,11,5265
1647,5,3925
1648,8,6341
1649,12,4326
1650,8,6341
1651,9,5791
1652,8,6341
1653,8,6341
1654,5,3925
1655,8,6341
1656,7,7189
1657,7,7189
1658,11,5265
1659,11,5265
1660,11,5265
1661,10,5841
1662,10,5841
1663,3,4121
1664,4,4107
1665,9,5791
1666,7,7189
1667,4,4107
1668,2,3529
1669,3,4121
1670,8,6341
1671,3,4121
1672,3,4121
1673,9,5791
1674,2,3529
1675,3,4121
1676,11,5265
1677,2,3529
1678,3,4121
1679,2,3529
1680,8,6341
1681,7,7189
1682,3,4121
1683,2,3529
1684,11,5265
1685,2,3529
1686,9,5791
1687,1,4272
1688,4,4107
1689,4,4107
1690,1,4272
1691,8,6341
1692,12,4326
1693,6,5925
1694,1,4272
1695,7,7189
1696,6,5925
1697,9,5791
1698,8,6341
1699,6,5925
1700,7,7189
1701,6,5925
1702,4,4107
1703,6,5925
1704,7,7189
1705,12,4326
1706,10,5841
1707,1,4272
1708,10,5841
1709,5,3925
1710,9,5791
1711,6,5925
1712,8,6341
1713,10,5841
1714,3,4121
1715,6,5925
1716,6,5925
1717,9,5791
1718,6,5925
1719,9,5791
1720,9,5791
1721,3,4121
1722,11,5265
1723,10,5841
1724,12,4326
1725,3,4121
1726,6,5925
1727,8,6341
1728,11,5265
1729,11,5265
1730,10,5841
1731,1,4272
1732,11,5265
1733,2,3529
1734,2,3529
1735,10,5841
1736,9,5791
1737,4,4107
1738,1,4272
1739,8,6341
1740,8,6341
1741,4,4107
1742,1,4272
1743,7,7189
1744,8,6341
1745,9,5791
1746,11,5265
1747,5,3925
1748,11,5265
1749,3,4121
1750,7,7189
1751,1,4272
1752,9,5791
1753,7,7189
1754,11,5265
1755,11,5265
1756,9,5791
1757,8,6341
1758,9,5791
1759,10,5841
1760,6,5925
1761,6,5925
1762,7,7189
1763,11,5265
1764,4,4107
1765,12,4326
1766,1,4272
1767,10,5841
1768,1,4272
1769,2,3529
1770,7,7189
1771,11,5265
1772,11,5265
1773,1,4272
1774,6,5925
1775,1,4272
1776,12,4326
1777,10,5841
1778,9,5791
1779,5,3925
1780,12,4326
1781,2,3529
1782,10,5841
1783,3,4121
1784,8,6341
1785,2,3529
1786,3,4121
1787,5,3925
1788,6,5925
1789,6,5925
1790,2,3529
1791,3,4121
1792,6,5925
1793,9,5791
1794,5,3925
1795,11,5265
1796,1,4272
1797,10,5841
1798,2,3529
1799,10,5841
1800,7,7189
1801,7,7189
1802,2,3529
1803,3,4121
1804,1,4272
1805,10,5841
1806,12,4326
1807,8,6341
1808,7,7189
1809,5,3925
1810,8,6341
1811,7,7189
1812,7,7189
1813,1,4272
1814,12,4326
1815,7,7189
1816,7,7189
1817,3,4121
1818,10,5841
1819,7,7189
1820,12,4326
1821,7,7189
1822,8,6341
1823,3,4121
1824,7,7189
1825,7,7189
1826,2,3529
1827,10,5841
1828,7,7189
1829,7,7189
1830,7,7189
1831,8,6341
1832,3,4121
1833,11,5265
1834,8,6341
1835,6,5925
1836,10,5841
1837,12,4326
1838,7,7189
1839,8,6341
1840,7,7189
1841,8,6341
1842,5,3925
1843,7,7189
1844,8,6341
1845,8,6341
1846,10,5841
1847,7,7189
1848,10,5841
1849,6,5925
1850,7,7189
1851,8,6341
1852,1,4272
1853,1,4272
1854,7,7189
1855,12,4326
1856,7,7189
1857,8,6341
1858,1,4272
1859,2,3529
1860,12,4326
1861,10,5841
1862,4,4107
1863,6,5925
1864,5,3925
1865,8,6341
1866,9,5791
1867,1,4272
1868,1,4272
1869,9,5791
1870,8,6341
