,Year,Year_count
13822,2008,3867
13823,1968,157
13824,2007,3338
13825,2004,3067
13826,2001,2295
13827,2012,6096
13828,2014,1894
13829,2012,6096
13830,2014,1894
13831,2011,4215
13832,1967,138
13833,2009,3502
13834,2008,3867
13835,2013,5862
13836,2006,2749
13837,2012,6096
13838,1965,145
13839,2012,6096
13840,2009,3502
13841,2003,2782
13842,2002,2298
13843,1965,145
13844,2013,5862
13845,1959,40
13846,2005,3046
13847,2010,3423
13848,1980,179
13849,2008,3867
13850,2005,3046
13851,2005,3046
13852,2008,3867
13853,2013,5862
13854,2007,3338
13855,2012,6096
13856,1980,179
13857,2012,6096
13858,2011,4215
13859,2011,4215
13860,2012,6096
13861,2010,3423
13862,2010,3423
13863,2003,2782
13864,1968,157
13865,2012,6096
13866,2007,3338
13867,2013,5862
13868,2008,3867
13869,2013,5862
13870,2007,3338
13871,2013,5862
13872,2011,4215
13873,2013,5862
13874,2013,5862
13875,2008,3867
13876,2010,3423
13877,1988,163
13878,2011,4215
13879,1985,153
13880,2011,4215
13881,2013,5862
13882,2007,3338
13883,2000,2012
13884,1976,206
13885,1975,228
13886,2009,3502
13887,2000,2012
13888,2013,5862
13889,2012,6096
13890,1999,1924
13891,2013,5862
13892,2012,6096
13893,2012,6096
13894,2002,2298
13895,2011,4215
13896,2004,3067
13897,2002,2298
13898,2013,5862
13899,2007,3338
13900,2013,5862
13901,2003,2782
13902,2013,5862
13903,2013,5862
13904,2012,6096
13905,1969,114
13906,2009,3502
13907,2009,3502
13908,2011,4215
13909,2008,3867
13910,2009,3502
13911,2001,2295
13912,2013,5862
13913,2000,2012
13914,2012,6096
13915,2004,3067
13916,2014,1894
13917,2006,2749
13918,2010,3423
13919,2013,5862
13920,2001,2295
13921,2013,5862
13922,2012,6096
13923,1970,96
13924,2013,5862
13925,2003,2782
13926,2000,2012
13927,2009,3502
13928,2012,6096
13929,2000,2012
13930,2008,3867
13931,2013,5862
13932,2012,6096
13933,2013,5862
13934,1998,1191
13935,1999,1924
13936,1972,107
13937,2007,3338
13938,2007,3338
13939,2009,3502
13940,2012,6096
13941,2012,6096
13942,2013,5862
13943,2012,6096
13944,1998,1191
13945,2006,2749
13946,2008,3867
13947,2010,3423
13948,2011,4215
13949,2006,2749
13950,2003,2782
13951,1967,138
13952,1984,131
13953,2012,6096
13954,2013,5862
13955,2001,2295
13956,2012,6096
13957,2011,4215
13958,2012,6096
13959,2014,1894
13960,2011,4215
13961,2008,3867
13962,2008,3867
13963,2011,4215
13964,2001,2295
13965,2009,3502
13966,1964,69
13967,2010,3423
13968,1993,204
13969,2008,3867
13970,1990,170
13971,2009,3502
13972,2007,3338
13973,2009,3502
13974,2010,3423
13975,2010,3423
13976,2007,3338
13977,2011,4215
13978,2011,4215
13979,2009,3502
13980,2011,4215
13981,1983,105
13982,2007,3338
13983,2005,3046
13984,2012,6096
13985,1960,46
13986,2013,5862
13987,2012,6096
13988,2013,5862
13989,2013,5862
13990,1951,11
13991,2012,6096
13992,2012,6096
13993,2010,3423
13994,1984,131
13995,2013,5862
13996,2012,6096
13997,2012,6096
13998,2013,5862
13999,2004,3067
14000,2005,3046
14001,2000,2012
14002,2014,1894
14003,2007,3338
14004,2004,3067
14005,2000,2012
14006,2008,3867
14007,2006,2749
14008,2013,5862
14009,2012,6096
14010,2007,3338
14011,1993,204
14012,2008,3867
14013,2008,3867
14014,2011,4215
14015,2013,5862
14016,2007,3338
14017,2012,6096
14018,2004,3067
14019,2012,6096
14020,2009,3502
14021,2012,6096
14022,1985,153
14023,2010,3423
14024,2009,3502
14025,2004,3067
14026,2007,3338
14027,2011,4215
14028,2007,3338
14029,2009,3502
14030,2008,3867
14031,2008,3867
14032,2009,3502
14033,2008,3867
14034,2000,2012
14035,2012,6096
14036,2012,6096
14037,2007,3338
14038,2013,5862
14039,2013,5862
14040,2012,6096
14041,2006,2749
14042,2008,3867
14043,1989,180
14044,1985,153
14045,2006,2749
14046,2000,2012
14047,2013,5862
14048,2002,2298
14049,2004,3067
14050,2007,3338
14051,2004,3067
14052,2012,6096
14053,2011,4215
14054,2011,4215
14055,2012,6096
14056,2003,2782
14057,2002,2298
14058,2011,4215
14059,2008,3867
14060,2006,2749
14061,2012,6096
14062,2011,4215
14063,2011,4215
14064,1999,1924
14065,2006,2749
14066,2001,2295
14067,1985,153
14068,1996,396
14069,2008,3867
14070,2010,3423
