,Year,Year_count
15030,2013,5862
15031,1989,180
15032,2004,3067
15033,2004,3067
15034,2004,3067
15035,1998,1191
15036,1970,96
15037,2013,5862
15038,2013,5862
15039,2008,3867
15040,2006,2749
15041,2010,3423
15042,2013,5862
15043,2005,3046
15044,2012,6096
15045,2008,3867
15046,2013,5862
15047,1985,153
15048,2003,2782
15049,2008,3867
15050,1976,206
15051,2008,3867
15052,2001,2295
15053,2002,2298
15054,2005,3046
15055,2007,3338
15056,2011,4215
15057,2012,6096
15058,1990,170
15059,1978,231
15060,2001,2295
15061,2003,2782
15062,2013,5862
15063,2005,3046
15064,2012,6096
15065,2012,6096
15066,2011,4215
15067,2005,3046
15068,2013,5862
15069,2008,3867
15070,2013,5862
15071,2008,3867
15072,2001,2295
15073,2014,1894
15074,2008,3867
15075,2008,3867
15076,2007,3338
15077,2001,2295
15078,2000,2012
15079,2008,3867
15080,2004,3067
15081,2004,3067
15082,2006,2749
15083,2010,3423
15084,2013,5862
15085,2006,2749
15086,2010,3423
15087,2003,2782
15088,2003,2782
15089,2004,3067
15090,2009,3502
15091,2007,3338
15092,2001,2295
15093,2003,2782
15094,2008,3867
15095,2003,2782
15096,2004,3067
15097,2008,3867
15098,2010,3423
15099,2004,3067
15100,2013,5862
15101,2013,5862
15102,2013,5862
15103,2003,2782
15104,2004,3067
15105,2005,3046
15106,2008,3867
15107,2001,2295
15108,2008,3867
15109,2005,3046
15110,2004,3067
15111,2012,6096
15112,2013,5862
