,DateOnly,Count
0,2015-01-02,474
1,2015-01-03,470
2,2015-01-04,288
3,2015-01-05,564
4,2015-01-06,557
5,2015-01-07,560
6,2015-01-08,556
7,2015-01-09,451
8,2015-01-10,471
9,2015-01-11,286
10,2015-01-12,570
11,2015-01-13,540
12,2015-01-14,547
13,2015-01-15,558
14,2015-01-16,430
15,2015-01-17,468
16,2015-01-18,278
17,2015-01-20,583
18,2015-01-21,557
19,2015-01-22,542
20,2015-01-23,440
21,2015-01-24,468
22,2015-01-25,295
23,2015-01-26,563
24,2015-01-27,538
25,2015-01-28,559
26,2015-01-29,541
27,2015-01-30,440
28,2015-01-31,468
29,2015-02-01,275
30,2015-02-02,522
31,2015-02-03,546
32,2015-02-04,572
33,2015-02-05,554
34,2015-02-06,446
35,2015-02-07,470
36,2015-02-08,282
37,2015-02-09,569
38,2015-02-10,557
39,2015-02-11,548
40,2015-02-12,554
41,2015-02-13,447
42,2015-02-14,468
43,2015-02-15,280
44,2015-02-16,1
45,2015-02-17,531
46,2015-02-18,555
47,2015-02-19,579
48,2015-02-20,443
49,2015-02-21,471
50,2015-02-22,286
51,2015-02-23,563
52,2015-02-24,544
53,2015-02-25,564
54,2015-02-26,564
55,2015-02-27,453
56,2015-02-28,469
57,2015-03-01,295
58,2015-03-02,564
59,2015-03-03,539
60,2015-03-04,552
61,2015-03-05,551
62,2015-03-06,447
63,2015-03-07,474
64,2015-03-08,293
65,2015-03-09,554
66,2015-03-10,551
67,2015-03-11,557
68,2015-03-12,548
69,2015-03-13,456
70,2015-03-14,466
71,2015-03-15,271
72,2015-03-16,575
73,2015-03-17,556
74,2015-03-18,549
75,2015-03-19,537
76,2015-03-20,438
77,2015-03-21,474
78,2015-03-22,280
79,2015-03-23,568
80,2015-03-24,561
81,2015-03-25,564
82,2015-03-26,566
83,2015-03-27,448
84,2015-03-28,472
85,2015-03-29,289
86,2015-03-30,562
87,2015-03-31,554
88,2015-04-01,564
89,2015-04-02,546
90,2015-04-03,445
91,2015-04-04,472
92,2015-04-05,276
93,2015-04-06,567
94,2015-04-07,567
95,2015-04-08,551
96,2015-04-09,541
97,2015-04-10,448
98,2015-04-11,470
99,2015-04-12,284
100,2015-04-13,567
101,2015-04-14,561
102,2015-04-15,560
103,2015-04-16,557
104,2015-04-17,407
105,2015-04-18,457
106,2015-04-19,275
107,2015-04-20,562
108,2015-04-21,560
109,2015-04-22,567
110,2015-04-23,573
111,2015-04-24,436
112,2015-04-25,466
113,2015-04-26,296
114,2015-04-27,562
115,2015-04-28,545
116,2015-04-29,541
117,2015-04-30,552
118,2015-05-01,273
119,2015-05-02,459
120,2015-05-03,291
121,2015-05-04,558
122,2015-05-05,558
123,2015-05-06,549
124,2015-05-07,548
125,2015-05-08,418
126,2015-05-09,451
127,2015-05-10,280
128,2015-05-11,571
129,2015-05-12,554
130,2015-05-13,545
131,2015-05-14,550
132,2015-05-15,432
133,2015-05-16,469
134,2015-05-17,279
135,2015-05-18,558
136,2015-05-19,570
137,2015-05-20,549
138,2015-05-21,563
139,2015-05-22,455
140,2015-05-23,473
141,2015-05-24,292
142,2015-05-26,586
143,2015-05-27,570
144,2015-05-28,538
145,2015-05-29,418
146,2015-05-30,465
147,2015-05-31,287
148,2015-06-01,562
149,2015-06-02,559
150,2015-06-03,560
151,2015-06-04,548
152,2015-06-05,437
153,2015-06-06,468
154,2015-06-07,278
155,2015-06-08,568
156,2015-06-09,549
157,2015-06-10,549
158,2015-06-11,549
159,2015-06-12,456
160,2015-06-13,470
161,2015-06-14,283
162,2015-06-15,569
163,2015-06-16,549
164,2015-06-17,572
165,2015-06-18,560
166,2015-06-19,436
167,2015-06-20,463
168,2015-06-21,301
169,2015-06-22,576
170,2015-06-23,575
171,2015-06-29,462
172,2015-06-30,563
173,2015-07-01,553
174,2015-07-02,561
175,2015-07-03,397
176,2015-07-05,300
177,2015-07-06,590
178,2015-07-07,571
179,2015-07-08,562
180,2015-07-09,556
181,2015-07-10,452
182,2015-07-11,469
183,2015-07-12,294
184,2015-07-13,576
185,2015-07-14,555
186,2015-07-15,564
187,2015-07-16,538
188,2015-07-17,441
189,2015-07-18,442
190,2015-07-19,277
191,2015-07-20,585
192,2015-07-21,509
193,2015-07-22,563
194,2015-07-23,549
195,2015-07-24,447
196,2015-07-25,464
197,2015-07-26,293
198,2015-07-27,578
199,2015-07-28,565
200,2015-07-29,554
201,2015-07-30,556
202,2015-07-31,436
203,2015-08-01,459
204,2015-08-02,315
205,2015-08-03,581
206,2015-08-04,576
207,2015-08-05,549
208,2015-08-06,556
209,2015-08-07,397
210,2015-08-08,460
211,2015-08-09,275
212,2015-08-10,579
213,2015-08-11,550
214,2015-08-12,499
215,2015-08-13,560
216,2015-08-14,441
217,2015-08-15,461
218,2015-08-16,290
219,2015-08-17,574
220,2015-08-18,561
221,2015-08-19,556
222,2015-08-20,553
223,2015-08-21,439
224,2015-08-22,454
225,2015-08-23,281
226,2015-08-24,571
227,2015-08-25,561
228,2015-08-26,555
229,2015-08-27,556
230,2015-08-28,438
231,2015-08-29,461
232,2015-08-30,288
233,2015-08-31,568
234,2015-09-01,565
235,2015-09-02,517
236,2015-09-03,555
237,2015-09-04,442
238,2015-09-05,462
239,2015-09-06,308
240,2015-09-08,586
241,2015-09-09,556
242,2015-09-10,554
243,2015-09-11,431
244,2015-09-12,455
245,2015-09-13,284
246,2015-09-14,572
247,2015-09-15,553
248,2015-09-16,551
249,2015-09-17,530
250,2015-09-18,436
251,2015-09-19,471
252,2015-09-20,287
253,2015-09-21,573
254,2015-09-22,554
255,2015-09-23,551
256,2015-09-24,548
257,2015-09-25,438
258,2015-09-26,467
259,2015-09-27,303
260,2015-09-28,545
261,2015-09-29,549
262,2015-09-30,541
263,2015-10-01,530
264,2015-10-02,433
265,2015-10-03,457
266,2015-10-04,298
267,2015-10-05,549
268,2015-10-06,556
269,2015-10-07,552
270,2015-10-08,542
271,2015-10-09,446
272,2015-10-10,465
273,2015-10-11,280
274,2015-10-12,560
275,2015-10-13,543
276,2015-10-14,538
277,2015-10-15,543
278,2015-10-16,438
279,2015-10-17,457
280,2015-10-18,291
281,2015-10-19,551
282,2015-10-20,548
283,2015-10-21,538
284,2015-10-22,537
285,2015-10-23,434
286,2015-10-24,464
287,2015-10-25,305
288,2015-10-26,557
289,2015-10-27,539
290,2015-10-28,538
291,2015-10-29,538
292,2015-10-30,417
293,2015-10-31,456
294,2015-11-01,281
295,2015-11-02,566
296,2015-11-03,545
297,2015-11-04,546
298,2015-11-05,553
299,2015-11-06,452
300,2015-11-07,466
301,2015-11-08,297
302,2015-11-09,559
303,2015-11-10,557
304,2015-11-12,559
305,2015-11-13,442
306,2015-11-14,470
307,2015-11-15,298
308,2015-11-16,562
309,2015-11-17,542
310,2015-11-18,555
311,2015-11-19,549
312,2015-11-20,454
313,2015-11-21,469
314,2015-11-22,284
315,2015-11-23,573
316,2015-11-24,559
317,2015-11-25,558
318,2015-11-27,424
319,2015-11-28,458
320,2015-11-29,290
321,2015-11-30,563
322,2015-12-01,559
323,2015-12-02,543
324,2015-12-03,534
325,2015-12-04,441
326,2015-12-05,460
327,2015-12-06,283
328,2015-12-07,556
329,2015-12-08,544
330,2015-12-09,551
331,2015-12-10,522
332,2015-12-11,440
333,2015-12-12,457
334,2015-12-13,285
335,2015-12-14,557
336,2015-12-15,542
337,2015-12-16,542
338,2015-12-17,520
339,2015-12-18,423
340,2015-12-19,461
341,2015-12-20,288
342,2015-12-21,552
343,2015-12-22,566
344,2015-12-23,552
345,2015-12-26,400
346,2015-12-27,258
347,2015-12-28,551
348,2015-12-29,541
349,2015-12-30,555
350,2015-12-31,450
