,DateOnly,Count
0,2014-01-02,570
1,2014-01-03,463
2,2014-01-04,473
3,2014-01-05,278
4,2014-01-06,578
5,2014-01-07,549
6,2014-01-08,560
7,2014-01-09,554
8,2014-01-10,448
9,2014-01-11,471
10,2014-01-12,273
11,2014-01-13,580
12,2014-01-14,564
13,2014-01-15,560
14,2014-01-16,552
15,2014-01-17,431
16,2014-01-18,475
17,2014-01-19,279
18,2014-01-20,1
19,2014-01-21,586
20,2014-01-22,547
21,2014-01-23,567
22,2014-01-24,455
23,2014-01-25,471
24,2014-01-26,299
25,2014-01-27,570
26,2014-01-28,555
27,2014-01-29,570
28,2014-01-30,568
29,2014-01-31,456
30,2014-02-01,463
31,2014-02-02,281
32,2014-02-03,555
33,2014-02-04,577
34,2014-02-05,544
35,2014-02-06,554
36,2014-02-07,447
37,2014-02-08,472
38,2014-02-09,280
39,2014-02-10,563
40,2014-02-11,556
41,2014-02-12,555
42,2014-02-13,557
43,2014-02-14,452
44,2014-02-15,473
45,2014-02-16,324
46,2014-02-18,585
47,2014-02-19,565
48,2014-02-20,566
49,2014-02-21,450
50,2014-02-22,473
51,2014-02-23,297
52,2014-02-24,568
53,2014-02-25,561
54,2014-02-26,573
55,2014-02-27,558
56,2014-02-28,452
57,2014-03-01,471
58,2014-03-02,289
59,2014-03-03,574
60,2014-03-04,558
61,2014-03-05,558
62,2014-03-06,555
63,2014-03-07,464
64,2014-03-08,476
65,2014-03-09,283
66,2014-03-10,570
67,2014-03-11,572
68,2014-03-12,556
69,2014-03-13,566
70,2014-03-14,451
71,2014-03-15,469
72,2014-03-16,290
73,2014-03-17,578
74,2014-03-18,556
75,2014-03-19,579
76,2014-03-20,570
77,2014-03-21,446
78,2014-03-22,467
79,2014-03-23,292
80,2014-03-24,577
81,2014-03-25,558
82,2014-03-26,563
83,2014-03-27,574
84,2014-03-28,443
85,2014-03-29,472
86,2014-03-30,286
87,2014-03-31,573
88,2014-04-01,565
89,2014-04-02,545
90,2014-04-03,556
91,2014-04-04,454
92,2014-04-05,469
93,2014-04-06,294
94,2014-04-07,579
95,2014-04-08,550
96,2014-04-09,571
97,2014-04-10,578
98,2014-04-11,443
99,2014-04-12,472
100,2014-04-13,278
101,2014-04-14,573
102,2014-04-15,563
103,2014-04-16,558
104,2014-04-17,553
105,2014-04-18,443
106,2014-04-19,464
107,2014-04-20,260
108,2014-04-21,576
109,2014-04-22,566
110,2014-04-23,562
111,2014-04-24,570
112,2014-04-25,441
113,2014-04-26,464
114,2014-04-27,306
115,2014-04-28,580
116,2014-04-29,564
117,2014-04-30,539
118,2014-05-01,543
119,2014-05-02,444
120,2014-05-03,467
121,2014-05-04,297
122,2014-05-05,583
123,2014-05-06,568
124,2014-05-07,545
125,2014-05-08,567
126,2014-05-09,454
127,2014-05-10,468
128,2014-05-11,269
129,2014-05-12,573
130,2014-05-13,549
131,2014-05-14,550
132,2014-05-15,543
133,2014-05-16,434
134,2014-05-17,466
135,2014-05-18,296
136,2014-05-19,570
137,2014-05-20,556
138,2014-05-21,565
139,2014-05-22,549
140,2014-05-23,446
141,2014-05-24,462
142,2014-05-25,294
143,2014-05-27,579
144,2014-05-28,567
145,2014-05-29,555
146,2014-05-30,426
147,2014-05-31,467
148,2014-06-01,286
149,2014-06-02,574
150,2014-06-03,562
151,2014-06-04,561
152,2014-06-05,559
153,2014-06-06,441
154,2014-06-07,466
155,2014-06-08,290
156,2014-06-09,575
157,2014-06-10,566
158,2014-06-11,565
159,2014-06-12,555
160,2014-06-13,448
161,2014-06-14,465
162,2014-06-15,293
163,2014-06-16,592
164,2014-06-17,564
165,2014-06-18,561
166,2014-06-19,574
167,2014-06-20,444
168,2014-06-21,470
169,2014-06-22,297
170,2014-06-23,587
171,2014-06-24,581
172,2014-06-25,580
173,2014-06-26,564
174,2014-06-27,457
175,2014-06-28,472
176,2014-06-29,280
177,2014-06-30,585
178,2014-07-01,572
179,2014-07-02,581
180,2014-07-03,577
181,2014-07-05,473
182,2014-07-06,299
183,2014-07-07,577
184,2014-07-08,571
185,2014-07-09,562
186,2014-07-10,570
187,2014-07-11,461
188,2014-07-12,463
189,2014-07-13,284
190,2014-07-14,594
191,2014-07-15,571
192,2014-07-16,570
193,2014-07-17,584
194,2014-07-18,274
195,2014-07-19,464
196,2014-07-20,283
197,2014-07-21,577
198,2014-07-22,577
199,2014-07-23,568
200,2014-07-24,567
201,2014-07-25,449
202,2014-07-26,468
203,2014-07-27,285
204,2014-07-28,589
205,2014-07-29,564
206,2014-07-30,563
207,2014-07-31,565
208,2014-08-01,450
209,2014-08-02,462
210,2014-08-03,287
211,2014-08-04,577
212,2014-08-05,547
213,2014-08-06,564
214,2014-08-07,559
215,2014-08-08,449
216,2014-08-09,468
217,2014-08-10,275
218,2014-08-11,576
219,2014-08-12,583
220,2014-08-13,570
221,2014-08-14,562
222,2014-08-15,443
223,2014-08-16,471
224,2014-08-17,293
225,2014-08-18,590
226,2014-08-19,569
227,2014-08-20,576
228,2014-08-21,561
229,2014-08-22,438
230,2014-08-23,460
231,2014-08-24,283
232,2014-08-25,571
233,2014-08-26,558
234,2014-08-27,564
235,2014-08-28,563
236,2014-08-29,443
237,2014-08-30,465
238,2014-08-31,273
239,2014-09-02,596
240,2014-09-03,571
241,2014-09-04,559
242,2014-09-05,449
243,2014-09-06,466
244,2014-09-07,288
245,2014-09-08,576
246,2014-09-09,266
247,2014-09-10,575
248,2014-09-11,564
249,2014-09-12,443
250,2014-09-13,465
251,2014-09-14,301
252,2014-09-15,576
253,2014-09-16,561
254,2014-09-17,561
255,2014-09-18,556
256,2014-09-19,432
257,2014-09-20,472
258,2014-09-21,280
259,2014-09-22,567
260,2014-09-23,549
261,2014-09-24,546
262,2014-09-25,552
263,2014-09-26,444
264,2014-09-27,471
265,2014-09-28,286
266,2014-09-29,577
267,2014-09-30,555
268,2014-10-01,541
269,2014-10-02,531
270,2014-10-03,446
271,2014-10-04,471
272,2014-10-05,280
273,2014-10-06,561
274,2014-10-07,560
275,2014-10-08,559
276,2014-10-09,533
277,2014-10-10,469
278,2014-10-11,465
279,2014-10-12,293
280,2014-10-13,566
281,2014-10-14,557
282,2014-10-15,565
283,2014-10-16,556
284,2014-10-17,438
285,2014-10-18,465
286,2014-10-19,282
287,2014-10-20,558
288,2014-10-21,555
289,2014-10-22,549
290,2014-10-23,555
291,2014-10-24,440
292,2014-10-25,467
293,2014-10-26,281
294,2014-10-27,555
295,2014-10-28,556
296,2014-10-29,556
297,2014-10-30,540
298,2014-10-31,411
299,2014-11-01,464
300,2014-11-02,288
301,2014-11-03,569
302,2014-11-04,553
303,2014-11-05,544
304,2014-11-06,552
305,2014-11-07,443
306,2014-11-08,466
307,2014-11-09,287
308,2014-11-10,573
309,2014-11-12,585
310,2014-11-13,542
311,2014-11-14,463
312,2014-11-15,467
313,2014-11-16,279
314,2014-11-17,568
315,2014-11-18,551
316,2014-11-19,568
317,2014-11-20,560
318,2014-11-21,427
319,2014-11-22,472
320,2014-11-23,270
321,2014-11-24,573
322,2014-11-25,563
323,2014-11-26,572
324,2014-11-28,432
325,2014-11-29,459
326,2014-11-30,276
327,2014-12-01,573
328,2014-12-02,551
329,2014-12-03,560
330,2014-12-04,535
331,2014-12-05,455
332,2014-12-06,467
333,2014-12-07,275
334,2014-12-08,567
335,2014-12-09,544
336,2014-12-10,554
337,2014-12-11,539
338,2014-12-12,387
339,2014-12-13,470
340,2014-12-14,268
341,2014-12-15,568
342,2014-12-16,538
343,2014-12-17,541
344,2014-12-18,518
345,2014-12-19,439
346,2014-12-20,457
347,2014-12-21,286
348,2014-12-22,567
349,2014-12-23,562
350,2014-12-26,457
351,2014-12-27,454
352,2014-12-28,275
353,2014-12-29,578
354,2014-12-30,557
355,2014-12-31,453
